community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	MBM_ac	A1R12	I2R16	M_acald_e	0.5	0.08	1	0.04
all	MBM_ac	A1R12	I2R16	M_ala__D_e	0.5	0.07	1	0.035
all	MBM_ac	A1R12	I2R16	M_ala__L_e	0.5	0.07	1	0.035
all	MBM_ac	A1R12	I2R16	M_asp__L_e	0.5	0.09	1	0.045
all	MBM_ac	A1R12	I2R16	M_cgly_e	0.5	0.49	1	0.245
all	MBM_ac	A1R12	I2R16	M_etoh_e	0.5	0.08	1	0.04
all	MBM_ac	A1R12	I2R16	M_glu__L_e	0.5	0.07	1	0.035
all	MBM_ac	A1R12	I2R16	M_gly_e	0.5	0.51	1	0.255
all	MBM_ac	A1R12	I2R16	M_pro__L_e	0.5	0.03	1	0.015
all	MBM_ac	A1R12	I2R16	M_pyr_e	0.5	0.09	1	0.045
all	MBM_ac	A1R12	I3M07	M_LalaDgluMdapDala_e	0.5	0.02	1	0.01
all	MBM_ac	A1R12	I3M07	M_LalaDgluMdap_e	0.5	0.09	1	0.045
all	MBM_ac	A1R12	I3M07	M_acald_e	0.5	0.08	1	0.04
all	MBM_ac	A1R12	I3M07	M_ala__D_e	0.5	0.07	1	0.035
all	MBM_ac	A1R12	I3M07	M_ala__L_e	0.5	0.07	1	0.035
all	MBM_ac	A1R12	I3M07	M_arg__L_e	0.5	0.02	1	0.01
all	MBM_ac	A1R12	I3M07	M_asp__L_e	0.5	0.09	1	0.045
all	MBM_ac	A1R12	I3M07	M_cgly_e	0.5	0.49	1	0.245
all	MBM_ac	A1R12	I3M07	M_etoh_e	0.5	0.08	1	0.04
all	MBM_ac	A1R12	I3M07	M_g3pe_e	0.5	0.3	1	0.15
all	MBM_ac	A1R12	I3M07	M_glu__L_e	0.5	0.07	1	0.035
all	MBM_ac	A1R12	I3M07	M_gly_e	0.5	0.51	1	0.255
all	MBM_ac	A1R12	I3M07	M_glyc3p_e	0.5	0.7	1	0.35
all	MBM_ac	A1R12	I3M07	M_glyclt_e	0.5	0.04	1	0.02
all	MBM_ac	A1R12	I3M07	M_lac__D_e	0.5	0.06	1	0.03
all	MBM_ac	A1R12	I3M07	M_orn_e	0.5	0.04	1	0.02
all	MBM_ac	A1R12	I3M07	M_pro__L_e	0.5	0.03	1	0.015
all	MBM_ac	A1R12	I3M07	M_ptrc_e	0.5	0.02	1	0.01
all	MBM_ac	A1R12	I3M07	M_pyr_e	0.5	0.09	1	0.045
all	MBM_ac	A1R12	I3M07	M_ser__L_e	0.5	0.08	1	0.04
all	MBM_ac	A1R12	I3M07	M_succ_e	0.5	0.04	1	0.02
