,E3R11,C1R06,m_3D05,E3R18,F3R11,C1M14,D3R19,m_6D02,B3M02,C3R17,m_6D03,G2R10,B3R10,D2M02,D2R05,A3R04,m_3C02,D2M19,A1R12,C2M11,C2R02,E3M17,I3M07,G3M19,m_4B03,E3M18,m_1A01,F3M07,m_3B05,B2M06,C3R12,C3M06,F3M07_,A3R12,E2M01,I2R16,E3R09,F3R08,E3R11_,E3R01,m_6C06
r5p,4.0,4.0,1.0,4.0,,,1.0,,10.0,2.0,3.0,1.0,3.0,,3.0,4.0,2.0,,3.0,1.0,4.0,3.0,2.0,,3.0,1.0,3.0,2.0,,2.0,,3.0,,,1.0,6.0,2.0,,1.0,7.0,2.0
met__L,3.0,,,12.0,,7.0,,,1.0,10.0,3.0,3.0,,,1.0,3.0,3.0,8.0,1.0,2.0,1.0,,3.0,,4.0,2.0,,5.0,,7.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,3.0,,,
f6p,4.0,3.0,4.0,4.0,,4.0,3.0,1.0,3.0,4.0,3.0,,4.0,,4.0,3.0,,4.0,4.0,4.0,4.0,,2.0,3.0,3.0,,,,,4.0,,4.0,,2.0,,4.0,1.0,4.0,,4.0,4.0
trp__L,4.0,6.0,6.0,5.0,,1.0,3.0,10.0,6.0,6.0,,,6.0,,6.0,6.0,,2.0,6.0,3.0,6.0,,,,6.0,6.0,,,,6.0,,3.0,4.0,5.0,2.0,3.0,4.0,6.0,,4.0,5.0
rmn,9.0,,3.0,3.0,,5.0,8.0,4.0,12.0,,11.0,,,,1.0,3.0,,4.0,20.0,,3.0,6.0,,2.0,2.0,,6.0,3.0,,2.0,,,2.0,2.0,10.0,4.0,7.0,1.0,,7.0,15.0
for,2.0,,9.0,2.0,,1.0,6.0,,,3.0,,,2.0,,,1.0,,7.0,5.0,6.0,3.0,,,,2.0,2.0,,2.0,,8.0,,,7.0,4.0,,5.0,3.0,12.0,,9.0,
rib__D,4.0,2.0,6.0,22.0,,,3.0,1.0,1.0,10.0,,,6.0,,,,,,1.0,1.0,8.0,8.0,,3.0,,17.0,,2.0,,34.0,,,8.0,10.0,9.0,7.0,2.0,,1.0,23.0,4.0
ser__D,6.0,,,23.0,,5.0,7.0,2.0,,,3.0,,,,,3.0,,2.0,16.0,,2.0,6.0,6.0,,,,,4.0,,30.0,2.0,5.0,,,,,,5.0,,,6.0
3pg,1.0,,,13.0,,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,
oaa,,4.0,,1.0,,,1.0,,,4.0,,2.0,4.0,,,4.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,,3.0,4.0,,3.0,,2.0,3.0,18.0,3.0,,,,2.0,2.0,1.0,,
acgam,,6.0,,16.0,,3.0,5.0,2.0,,,,,12.0,,,2.0,,10.0,12.0,,,3.0,,7.0,1.0,,,3.0,,9.0,,4.0,,7.0,,1.0,1.0,4.0,,8.0,
akg,,,2.0,2.0,,,19.0,3.0,2.0,1.0,2.0,2.0,1.0,,,2.0,2.0,3.0,3.0,1.0,2.0,,1.0,8.0,2.0,2.0,2.0,5.0,,5.0,2.0,2.0,1.0,2.0,,,2.0,,,2.0,2.0
cit,,,16.0,12.0,,,2.0,2.0,,10.0,,,,,,3.0,,9.0,21.0,,,7.0,,2.0,3.0,,,4.0,3.0,23.0,,11.0,23.0,,,,6.0,7.0,1.0,7.0,
phe__L,,,,9.0,,3.0,11.0,2.0,,1.0,3.0,6.0,,,2.0,4.0,3.0,4.0,6.0,,3.0,1.0,6.0,7.0,5.0,11.0,1.0,2.0,,1.0,4.0,8.0,6.0,9.0,4.0,,2.0,1.0,,4.0,4.0
ile__L,,,,3.0,,5.0,2.0,2.0,11.0,3.0,,5.0,,,10.0,12.0,4.0,20.0,5.0,,,,,7.0,,16.0,8.0,3.0,,3.0,14.0,7.0,8.0,,7.0,,,18.0,,3.0,16.0
ac,,,,5.0,,,6.0,,6.0,,,,,,,,,10.0,5.0,,,12.0,,3.0,,10.0,,1.0,,4.0,,,4.0,,3.0,,,10.0,1.0,15.0,
pyr,,,,12.0,,,4.0,1.0,,,,,,,,,,7.0,18.0,,,6.0,,2.0,,,,4.0,,16.0,,,8.0,,3.0,,,6.0,,7.0,
glc__D,,,,36.0,20.0,,7.0,,,9.0,,,,,,,,,24.0,,,2.0,,4.0,,,,1.0,,37.0,,,4.0,,,,,,,5.0,
pro__L,,,,,,,7.0,4.0,,,,,,,,,,14.0,23.0,,,5.0,,1.0,,,,2.0,,15.0,,,4.0,,,,,2.0,,,
glu__D,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
