,Fundamental niche size (%),Realized niche size (%)
E3R11,36.36363636363637,77.27272727272727
C1R06,50.0,77.27272727272727
m_3D05,36.36363636363637,72.72727272727273
E3R18,4.545454545454546,86.36363636363636
F3R11,0.0,4.545454545454546
m_4F10,0.0,0.0
C1M14,31.818181818181817,72.72727272727273
A2M03,0.0,0.0
m_5C01,0.0,0.0
D3R19,0.0,77.27272727272727
m_6D02,0.0,54.54545454545455
B3R18,0.0,0.0
B3M02,36.36363636363637,81.81818181818181
C3R17,22.727272727272727,77.27272727272727
m_6D03,45.45454545454545,77.27272727272727
D2R18,0.0,0.0
G2R10,54.54545454545455,86.36363636363636
B3R10,31.818181818181817,72.72727272727273
D2M02,0.0,4.545454545454546
A3R16,4.545454545454546,4.545454545454546
m_4A10,0.0,0.0
D2R05,45.45454545454545,77.27272727272727
C3M10,0.0,0.0
D2R04,0.0,0.0
A3R04,22.727272727272727,81.81818181818181
A3M17,0.0,0.0
m_3C02,54.54545454545455,86.36363636363636
D2M19,9.090909090909092,77.27272727272727
A1R12,0.0,81.81818181818181
C2M11,45.45454545454545,86.36363636363636
C2R02,31.818181818181817,81.81818181818181
E3M17,0.0,59.09090909090909
I3M07,50.0,90.9090909090909
B2M17,0.0,0.0
G3M19,0.0,54.54545454545455
m_4B03,31.818181818181817,86.36363636363636
E3M18,22.727272727272727,72.72727272727273
m_1A01,50.0,77.27272727272727
F3M07,0.0,72.72727272727273
m_3B05,0.0,4.545454545454546
B2M06,0.0,81.81818181818181
E3M09,0.0,0.0
C3R15,0.0,0.0
I2M19,0.0,0.0
C3R12,50.0,77.27272727272727
C3M06,31.818181818181817,81.81818181818181
m_4E07,0.0,0.0
G2R14,0.0,0.0
G2M07,0.0,0.0
F3M07_,0.0,63.63636363636363
A3R12,36.36363636363637,81.81818181818181
E2M01,27.272727272727273,68.18181818181819
F2R14,0.0,0.0
I2R16,31.818181818181817,68.18181818181819
A3R06,0.0,0.0
E3R09,27.272727272727273,81.81818181818181
F3R08,9.090909090909092,72.72727272727273
E3R11_,0.0,27.272727272727273
C2R09,0.0,0.0
E3R01,9.090909090909092,77.27272727272727
B2M13,0.0,0.0
m_6C06,31.818181818181817,72.72727272727273
